"CSquare","VME_index","Uncertainty_score","VME_Class","Uncertainty_Class","VME_Class_Name","Conf_Name"
"7405:381:478:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:485:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:381:487:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:495:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:495:4",2.48117618,0.773082305,0,"2","Low","High"
"7405:381:496:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:497:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:497:3",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:381:498:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:499:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:381:499:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:102:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:103:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:104:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:113:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:114:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:114:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:123:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:123:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:130:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:131:3",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:382:132:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:132:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:133:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:133:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:134:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:140:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:142:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:142:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:143:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:144:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:246:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:351:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:353:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:354:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:360:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:360:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:362:2",1.505988048,0.0625,0,"0","Low","Low"
"7405:382:362:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:364:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:364:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:370:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:371:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:371:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:372:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:381:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:381:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:382:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:384:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:384:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:384:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:390:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:392:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:392:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:392:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:393:2",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:393:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:455:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:382:466:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:475:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:487:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:496:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:496:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:382:497:4",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:382:498:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:383:120:4",2.48117618,0.279508497,0,"0","Low","Low"
"7405:383:121:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:383:205:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:383:374:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:383:383:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:383:390:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:383:391:3",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:100:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:100:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:100:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:101:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:102:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:103:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:103:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:104:1",2.48117618,0.279508497,0,"0","Low","Low"
"7405:390:110:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:110:4",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:390:111:2",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:111:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:111:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:112:2",2.48117618,0.612372436,0,"1","Low","Medium"
"7405:390:114:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:120:1",3.351230536,0.279508497,1,"0","Medium","Low"
"7405:390:121:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:124:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:390:124:4",2.48117618,0.534000234,0,"1","Low","Medium"
