Latitude,Longitude,Area
57.58176,-20.56346,HAR2
57.85661,-20.18033,HAR2
57.92348,-19.88298,HAR2
58.48089,-19.24254,HAR2
58.68061,-19.28257,HAR2
58.97658,-18.99665,HAR2
59.21447,-18.28759,HAR2
59.27003,-17.92162,HAR2
59.50009,-17.6643,HAR2
59.69975,-16.70935,HAR2
54.94064,-17.20112,HAR3
54.58101,-18.03027,HAR3
54.40831,-18.39624,HAR3
54.47814,-19.05384,HAR3
54.41497,-19.31116,HAR3
53.97674,-19.9516,HAR3
54.18473,-20.12887,HAR3
54.33503,-20.10028,HAR3
54.63731,-19.39121,HAR3
54.98003,-19.25398,HAR3
55.06854,-18.73933,HAR3
55.43033,-18.68215,HAR3
55.40761,-18.41339,HAR3
55.14377,-17.77295,HAR3
54.95049,-18.03027,HAR3
54.98003,-17.1325,HAR3
54.94064,-17.20112,HAR3
58.486865,-14.753707,HAR4
58.065919,-14.77658,HAR4
57.492746,-14.685089,HAR4
56.938519,-14.54785,HAR4
56.581193,-14.301966,HAR4
55.5696,-15.457054,HAR4
55.514599,-15.788712,HAR4
55.391375,-15.948824,HAR4
55.211565,-16.752285,HAR4
55.288386,-16.897232,HAR4
55.432928,-16.866717,HAR4
55.522281,-16.686169,HAR4
55.508123,-17.584245,HAR4
55.68582,-17.841567,HAR4
56.293514,-17.790102,HAR4
56.499223,-17.475598,HAR4
56.750876,-17.395543,HAR4
56.89482,-17.132503,HAR4
56.916675,-16.77797,HAR4
57.190347,-16.709352,HAR4
57.153145,-15.788712,HAR4
57.270817,-15.394153,HAR4
57.618818,-15.305353,HAR4
57.84148,-15.31044,HAR4
57.953645,-15.485902,HAR4
58.066806,-15.437586,HAR4
58.213116,-15.485902,HAR4
58.388159,-15.239237,HAR4
58.362824,-15.134977,HAR4
58.501805,-14.902383,HAR4
58.486865,-14.753707,HAR4
55.853089,-19.963039,HAR5
55.43682,-19.745745,HAR5
55.336125,-20.237516,HAR5
55.485451,-20.723568,HAR5
55.785625,-20.454809,HAR5
55.853089,-19.963039,HAR5
37.062127,-14.170332,jos1
36.714968,-14.104407,jos1
36.552059,-14.185426,jos1
36.562204,-14.266755,jos1
36.702867,-14.538464,jos1
36.879505,-14.556023,jos1
37.055982,-14.241493,jos1
37.062127,-14.170332,jos1
57.17172,-33.34189,MAR1_
57.09757,-33.12413,MAR1_
56.72929,-33.48849,MAR1_
56.49432,-33.56962,MAR1_
56.37313,-34.01653,MAR1_
56.52887,-34.24425,MAR1_
56.7449,-34.14462,MAR1_
57.15165,-33.50699,MAR1_
44.74949,-25.21871,MAR2_
