Latitude	Longitude
58.486865	-14.753707
58.065919	-14.77658
57.492746	-14.685089
56.938519	-14.54785
56.581193	-14.301966
55.5696		-15.457054
55.514599	-15.788712
55.391375	-15.948824
55.211565	-16.752285
55.288386	-16.897232
55.432928	-16.866717
55.522281	-16.686169
55.508123	-17.584245
55.68582	-17.841567
56.293514	-17.790102
56.499223	-17.475598
56.750876	-17.395543
56.89482	-17.132503
56.916675	-16.77797
57.190347	-16.709352
57.153145	-15.788712
57.270817	-15.394153
57.618818	-15.305353
57.84148	-15.31044
57.953645	-15.485902
58.066806	-15.437586
58.213116	-15.485902
58.388159	-15.239237
58.362824	-15.134977
58.501805	-14.902383
58.486865	-14.753707
