lat       lon
59.69975 -16.70935
59.24958 -16.80656
59.15296 -17.46988
58.99131 -17.33836
59.08839 -16.95524
58.96184 -16.70935
58.45995 -17.45844
58.18971 -17.51563
58.09011 -17.22971
57.97203 -17.24115
57.91437 -17.10391
57.82922 -17.09247
57.55109 -17.78438
57.49275 -18.20753
57.29554 -18.49345
57.21512 -18.81939
57.06620 -19.35119
56.49922 -19.53989
56.61268 -20.02022
56.37910 -20.43765
56.37910 -20.64351
56.49922 -20.84937
56.61897 -20.84937
56.83543 -20.42622
57.23679 -20.56346
57.58176 -20.56346
57.85661 -20.18033
57.92348 -19.88298
58.48089 -19.24254
58.68061 -19.28257
58.97658 -18.99665
59.21447 -18.28759
59.27003 -17.92162
59.50009 -17.66430
59.69975 -16.70935
