lat       lon    
54.94064 -17.20112
54.58101 -18.03027
54.40831 -18.39624
54.47814 -19.05384
54.41497 -19.31116
53.97674 -19.95160
54.18473 -20.12887
54.33503 -20.10028
54.63731 -19.39121
54.98003 -19.25398
55.06854 -18.73933
55.43033 -18.68215
55.40761 -18.41339
55.14377 -17.77295
54.95049 -18.03027
54.98003 -17.13250
54.94064 -17.20112
